probing 121 Workday URLs...
  1/121 error    500 Johns Hopkins
  2/121 error    500 Mayo Clinic
  3/121 error    500 Kaiser Permanente
  4/121 redirect 200 Cleveland Clinic
  5/121 dead     404 Mass General Brigham
  6/121 error    500 Penn Medicine
  7/121 error    500 Vanderbilt Health
  8/121 error    500 AdventHealth
  9/121 error    500 Ascension
  10/121 error    500 CommonSpirit Health
  11/121 active   200 Intermountain Health
  12/121 active   200 Advocate Health (Atrium)
  13/121 dead     404 Geisinger
  14/121 error    500 Sanford Health
  15/121 active   200 Houston Methodist
  16/121 active   200 WashU Medicine
  17/121 active   200 Boston Medical Center
  18/121 active   200 CVS Health
  19/121 active   200 Enloe Health
  20/121 active   200 Jupiter Medical Center
  21/121 active   200 OU Health
  22/121 error    500 Banner Health
  23/121 active   200 Methodist Health System
  24/121 active   200 VHC Health
  25/121 active   200 MultiCare Health
  26/121 active   200 St. Luke\
  27/121 active   200 Brown University Health
  28/121 error    500 WellStar Health
  29/121 error    500 NYU Langone Health
  30/121 error    500 Ochsner Health
  31/121 dead     404 Prisma Health
  32/121 error    500 Piedmont Healthcare
  33/121 error    500 Spectrum Health / Corewell
  34/121 error    500 Henry Ford Health
  35/121 error    500 Cedars-Sinai
  36/121 error    500 Christus Health
  37/121 error    500 Hackensack Meridian
  38/121 error    500 RWJBarnabas Health
  39/121 error    500 Duke Health
  40/121 error    500 UNC Health
  41/121 error    500 OSF HealthCare
  42/121 error    500 Adventist Health
  43/121 error    500 Mercy Health
  44/121 error    500 Trinity Health
  45/121 error    500 Sutter Health
  46/121 error    500 Children\
  47/121 dead     404 Seattle Children\
  48/121 error    500 Children\
  49/121 error    500 Stanford Health Care
  50/121 error    500 OHSU
  51/121 error    500 UW Medicine
  52/121 error    500 University of Michigan Health
  53/121 error    500 UChicago Medicine
  54/121 error    500 Rush University Medical
  55/121 active   200 Stanford Health Care
  56/121 error    500 Concentrix
  57/121 error    500 TTEC
  58/121 error    500 Teleperformance
  59/121 error    500 Foundever (Sitel)
  60/121 error    500 Conduent
  61/121 error    500 Alorica
  62/121 error    500 Sutherland Global
  63/121 error    500 Maximus
  64/121 error    500 Sykes (Sitel)
  65/121 error    500 XPO Logistics
  66/121 dead     404 ArcBest
  67/121 dead     404 Sagility
  68/121 error    500 Atos Health
  69/121 error    500 Maximus Federal
  70/121 active   200 Medline Industries
  71/121 error    500 WellSpan Health
  72/121 error    500 Bon Secours Mercy Health
  73/121 error    500 Ballad Health
  74/121 error    500 Parkview Health
  75/121 dead     404 CoxHealth
  76/121 error    500 Kettering Health
  77/121 error    500 Baptist Health South Florida
  78/121 error    500 Sentara Health
  79/121 dead     404 OhioHealth
  80/121 error    500 Luminis Health
  81/121 error    500 Summa Health
  82/121 error    500 UnityPoint Health
  83/121 error    500 Aultman Health
  84/121 error    500 Guthrie Health
  85/121 error    500 Aspirus Health
  86/121 error    500 Parallon
  87/121 error    500 ResultsCX
  88/121 error    500 Startek
  89/121 error    500 iQor
  90/121 error    500 Webhelp
  91/121 error    500 Novant Health
  92/121 error    500 Franciscan Health
  93/121 dead     404 Memorial Hermann
  94/121 error    500 Tufts Medicine
  95/121 error    500 SSM Health
  96/121 error    500 Bon Secours Mercy
  97/121 error    500 Centura Health
  98/121 dead     404 Avera Health
  99/121 error    500 Essentia Health
  100/121 error    500 CHRISTUS Health
  101/121 error    500 WVU Medicine
  102/121 error    500 UCHealth
  103/121 error    500 Stormont Vail
  104/121 error    500 Cone Health
  105/121 error    500 Virtua Health
  106/121 error    500 Valley Health System
  107/121 error    500 Billings Clinic
  108/121 error    500 DISH / EchoStar
  109/121 dead     404 Humana
  110/121 dead     404 Cigna
  111/121 error    500 Aetna / CVS
  112/121 error    500 Anthem / Elevance
  113/121 error    500 UnitedHealth Group
  114/121 error    500 Molina Healthcare
  115/121 dead     404 Centene
  116/121 dead     404 Magellan Health
  117/121 dead     404 Asurion
  118/121 error    500 Blue Yonder
  119/121 error    500 E2open
  120/121 dead     404 Manhattan Associates
  121/121 error    500 Infor

Summary: {"error":88,"redirect":1,"dead":16,"active":16}
Wrote outbox/workday-audit-results.json (121 entries)
